"Date","activity"
"2008-07-13",-0.1075
"2008-07-20",-0.16
"2008-07-27",-0.2245
"2008-08-03",-0.296
"2008-08-10",-0.341
"2008-08-17",-0.3855
"2008-08-24",-0.375
"2008-08-31",-0.463
"2008-09-07",-0.598
"2008-09-14",-0.584
"2008-09-21",-0.64
"2008-09-28",-0.625
"2008-10-05",-0.6865
"2008-10-12",-0.7145
"2008-10-19",-0.7745
"2008-10-26",-0.869
"2008-11-02",-0.8995
"2008-11-09",-0.877
"2008-11-16",-0.883
"2008-11-23",-0.91
"2008-11-30",-1
"2008-12-07",-1.042
"2008-12-14",-1.044
"2008-12-21",-0.936
"2008-12-28",-0.742
"2009-01-04",-0.77
"2009-01-11",-0.772
"2009-01-18",-0.777
"2009-01-25",-0.6765
"2009-02-01",-0.7105
"2009-02-08",-0.7605
"2009-02-15",-0.7435
"2009-02-22",-0.7265
"2009-03-01",-0.6575
"2009-03-08",-0.6175
"2009-03-15",-0.486
"2009-03-22",-0.491
"2009-03-29",-0.3835
"2009-04-05",-0.333
"2009-04-12",-0.285
"2009-04-19",-0.237
"2009-04-26",-0.177
"2009-05-03",-0.014
"2009-05-10",-0.0265
"2009-05-17",0.1375
"2009-05-24",0.144
"2009-05-31",0.2265
"2009-06-07",0.234
"2009-06-14",0.1695
"2009-06-21",0.2285
"2009-06-28",0.4805
"2009-07-05",0.2905
"2009-07-12",0.349
"2009-07-19",0.236
"2009-07-26",0.1695
"2009-08-02",0.1575
"2009-08-09",0.0785
"2009-08-16",0.0205
"2009-08-23",-0.0795
"2009-08-30",-0.0465
"2009-09-06",-0.139
"2009-09-13",-0.2305
"2009-09-20",-0.277
"2009-09-27",-0.305
"2009-10-04",-0.3715
"2009-10-11",-0.5035
"2009-10-18",-0.524
"2009-10-25",-0.611
"2009-11-01",-0.574
"2009-11-08",-0.62
"2009-11-15",-0.649
"2009-11-22",-0.716
"2009-11-29",-0.853
"2009-12-06",-0.898
"2009-12-13",-0.884
"2009-12-20",-0.8085
"2009-12-27",-0.574
"2010-01-03",-0.567
"2010-01-10",-0.5285
"2010-01-17",-0.531
"2010-01-24",-0.532
"2010-01-31",-0.463
"2010-02-07",-0.4625
"2010-02-14",-0.4845
"2010-02-21",-0.484
"2010-02-28",-0.372
"2010-03-07",-0.3165
"2010-03-14",-0.168
"2010-03-21",-0.1555
"2010-03-28",-0.00600000000000001
"2010-04-04",0.00549999999999999
"2010-04-11",0.046
"2010-04-18",0.095
"2010-04-25",0.2585
"2010-05-02",0.4175
"2010-05-09",0.2835
"2010-05-16",0.3415
"2010-05-23",0.438
"2010-05-30",0.5945
"2010-06-06",0.497
"2010-06-13",0.545
"2010-06-20",0.531
"2010-06-27",0.671
"2010-07-04",0.633
"2010-07-11",0.593
"2010-07-18",0.583
"2010-07-25",0.538
"2010-08-01",0.4755
"2010-08-08",0.3705
"2010-08-15",0.329
"2010-08-22",0.2805
"2010-08-29",0.256
"2010-09-05",0.1325
"2010-09-12",-0.051
"2010-09-19",-0.106
"2010-09-26",-0.127
"2010-10-03",-0.1765
"2010-10-10",-0.2595
"2010-10-17",-0.3845
"2010-10-24",-0.4975
"2010-10-31",-0.5745
"2010-11-07",-0.5375
"2010-11-14",-0.5975
"2010-11-21",-0.689
"2010-11-28",-0.8015
"2010-12-05",-0.8165
"2010-12-12",-0.8655
"2010-12-19",-0.8145
"2010-12-26",-0.614
"2011-01-02",-0.363
"2011-01-09",-0.4055
"2011-01-16",-0.3085
"2011-01-23",-0.332
"2011-01-30",-0.3305
"2011-02-06",-0.252
"2011-02-13",-0.3225
"2011-02-20",-0.295
"2011-02-27",-0.2135
"2011-03-06",-0.2255
"2011-03-13",-0.1645
"2011-03-20",-0.14
"2011-03-27",-0.00650000000000001
"2011-04-03",0.1525
"2011-04-10",0.1735
"2011-04-17",0.239
"2011-04-24",0.1295
"2011-05-01",0.5195
"2011-05-08",0.5305
"2011-05-15",0.467
"2011-05-22",0.635
"2011-05-29",1.033
"2011-06-05",1.0125
"2011-06-12",1.0305
"2011-06-19",0.9985
"2011-06-26",1.2145
"2011-07-03",1.2445
"2011-07-10",1.1035
"2011-07-17",0.9895
"2011-07-24",0.928
"2011-07-31",0.9035
"2011-08-07",0.8135
"2011-08-14",0.749
"2011-08-21",0.6065
"2011-08-28",0.5895
"2011-09-04",0.472
"2011-09-11",0.317
"2011-09-18",0.1865
"2011-09-25",0.211
"2011-10-02",0.173
"2011-10-09",0.0515
"2011-10-16",-0.021
"2011-10-23",-0.1495
"2011-10-30",-0.2525
"2011-11-06",-0.2805
"2011-11-13",-0.293
"2011-11-20",-0.411
"2011-11-27",-0.5175
"2011-12-04",-0.5495
"2011-12-11",-0.5745
"2011-12-18",-0.4895
"2011-12-25",-0.381
"2012-01-01",-0.089
"2012-01-08",-0.0615
"2012-01-15",-0.0865
"2012-01-22",-0.062
"2012-01-29",0.1225
"2012-02-05",0.106
"2012-02-12",-0.129
"2012-02-19",0.032
"2012-02-26",0.0525
"2012-03-04",0.186
"2012-03-11",0.2105
"2012-03-18",0.3005
"2012-03-25",0.3035
"2012-04-01",0.565
"2012-04-08",0.546
"2012-04-15",0.7465
"2012-04-22",0.6415
"2012-04-29",0.944
"2012-05-06",1.053
"2012-05-13",1.0645
"2012-05-20",1.176
"2012-05-27",1.4045
"2012-06-03",1.515
"2012-06-10",1.553
"2012-06-17",1.591
"2012-06-24",1.582
"2012-07-01",1.8215
"2012-07-08",1.6835
"2012-07-15",1.533
"2012-07-22",1.387
"2012-07-29",1.3485
"2012-08-05",1.2285
"2012-08-12",1.145
"2012-08-19",1.074
"2012-08-26",0.996
"2012-09-02",0.8995
"2012-09-09",0.6795
"2012-09-16",0.568
"2012-09-23",0.4985
"2012-09-30",0.44
"2012-10-07",0.247
"2012-10-14",0.1435
"2012-10-21",0.0145
"2012-10-28",-0.173
"2012-11-04",-0.199
"2012-11-11",-0.153
"2012-11-18",-0.256
"2012-11-25",-0.3595
"2012-12-02",-0.3245
"2012-12-09",-0.4365
"2012-12-16",-0.4225
"2012-12-23",-0.3065
"2012-12-30",0.095
"2013-01-06",0.217
"2013-01-13",0.2555
"2013-01-20",0.2635
"2013-01-27",0.365
"2013-02-03",0.3835
"2013-02-10",0.1925
"2013-02-17",0.319
"2013-02-24",0.3925
"2013-03-03",0.537
"2013-03-10",0.5925
"2013-03-17",0.5725
"2013-03-24",0.7065
"2013-03-31",0.754
"2013-04-07",0.911
"2013-04-14",0.827
"2013-04-21",1.0395
"2013-04-28",1.3145
"2013-05-05",1.363
"2013-05-12",1.2645
"2013-05-19",1.3695
"2013-05-26",1.661
"2013-06-02",1.8025
"2013-06-09",1.8045
"2013-06-16",1.8235
"2013-06-23",1.811
"2013-06-30",2.036
"2013-07-07",1.863
"2013-07-14",1.7745
"2013-07-21",1.692
"2013-07-28",1.692
"2013-08-04",1.592
"2013-08-11",1.4945
"2013-08-18",1.357
"2013-08-25",1.1775
"2013-09-01",1.1665
"2013-09-08",0.8705
"2013-09-15",0.651
"2013-09-22",0.603
"2013-09-29",0.5365
"2013-10-06",0.4255
"2013-10-13",0.3055
"2013-10-20",0.208
"2013-10-27",0.0505
"2013-11-03",0.0895
"2013-11-10",0.024
"2013-11-17",-0.0675
"2013-11-24",-0.2285
"2013-12-01",-0.3545
"2013-12-08",-0.377
"2013-12-15",-0.3375
"2013-12-22",-0.1405
"2013-12-29",0.262
"2014-01-05",0.3865
"2014-01-12",0.557
"2014-01-19",0.524
"2014-01-26",0.565
"2014-02-02",0.5135
"2014-02-09",0.3175
"2014-02-16",0.499
"2014-02-23",0.5115
"2014-03-02",0.6245
"2014-03-09",0.729
"2014-03-16",0.715
"2014-03-23",0.7275
"2014-03-30",0.8855
"2014-04-06",1.0055
"2014-04-13",1
"2014-04-20",0.9125
"2014-04-27",1.207
"2014-05-04",1.4795
"2014-05-11",1.3035
"2014-05-18",1.5115
"2014-05-25",1.5835
"2014-06-01",1.7135
"2014-06-08",1.6285
"2014-06-15",1.71
"2014-06-22",1.744
"2014-06-29",1.932
"2014-07-06",1.7955
"2014-07-13",1.7215
"2014-07-20",1.687
"2014-07-27",1.577
"2014-08-03",1.5985
"2014-08-10",1.3565
"2014-08-17",1.2195
"2014-08-24",1.164
"2014-08-31",1.039
"2014-09-07",0.773
"2014-09-14",0.7145
"2014-09-21",0.628
"2014-09-28",0.5335
"2014-10-05",0.434
"2014-10-12",0.3565
"2014-10-19",0.2745
"2014-10-26",0.0705
"2014-11-02",0.077
"2014-11-09",0.0245
"2014-11-16",-0.0425
"2014-11-23",-0.1875
"2014-11-30",-0.3185
"2014-12-07",-0.257
"2014-12-14",-0.266
"2014-12-21",-0.174
"2014-12-28",0.2015
"2015-01-04",0.553
"2015-01-11",0.6135
"2015-01-18",0.6025
"2015-01-25",0.6035
"2015-02-01",0.7335
"2015-02-08",0.41
"2015-02-15",0.367
"2015-02-22",0.379
"2015-03-01",0.539
"2015-03-08",0.6145
